Code;HMI Message;Cause;Action;Platforms
98;Ultrasonic problem, right ;The ultrasonic sensor is dirty or blocked. ;Clean the ultrasonic sensor.;P3
98;Ultrasonic problem, right ;Temporary electronic or firmware related problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P3
99;Ultrasonic problem, right center;The ultrasonic sensor is dirty or blocked.;Clean the ultrasonic sensor.;P3
99;Ultrasonic problem, right center;Temporary electronic or firmware related problem in the product;Restart the product. If the problem stays, speak to your authorized service center.;P3
100;Ultrasonic problem, left center;The ultrasonic sensor is dirty or blocked. ;Clean the ultrasonic sensor.;P3
100;Ultrasonic problem, left center;Temporary electronic or firmware related problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P3
101;Ultrasonic problem, left;The ultrasonic sensor is dirty or blocked.;Clean the ultrasonic sensor.;P3
101;Ultrasonic problem, left;Temporary electronic or firmware related problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P3
102;Cutting motor problem, right;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P3
103;Cutting motor problem, center;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P22, P3
104;Cutting motor problem, left;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P3
107;Docking sensor problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P3
108;Cutting deck folding sensor problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P3
113;Too many waypoints;There are too many waypoints in the current work area.;Divide the current work area into several work areas or redo the current work areas, stay-out zones and transport paths and use less waypoints.;P17, P21, P21NA, P22, P25, P2Z, P3
114;Too high battery current;The product has been operating in demanding conditions, for example too high or thick grass or in too steep slope. ;Restart the product and test the product on a level surface and short grass. If the problem stays, speak to your authorized service center.;P22, P3
114;Too high battery current;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P22, P3
115;Too high internal current;The product has been operating in demanding conditions, for example too high or thick grass or in too steep slope. ;Restart the product and test the product on a level surface and short grass. If the problem stays, speak to your authorized service center.;P22, P3
116;High charging power loss;The contact between the charging plates on the cutting deck and the contact plates on the charging station is not good.; Polish the charging plates on the cutting deck and the contact plates on the charging station.;P3
115;Too high internal current;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P22, P3
117;High internal power loss;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P22, P3
120;Internal voltage problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P22, P3
121;High internal temperature;The product has been operating in demanding conditions, for example too high temperature, or too high or thick grass or in too steep slope.;Put the product in the shadow and wait. Restart the product and test the product on a level surface and short grass. If the problem stays, speak to your authorized service center.;P22, P3
121;High internal temperature;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P22, P3
116;High charging power loss;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P22, P3
123;Destination not reachable;There is no transport path to the work area. ;Make a transport path to the work area.;P17, P21, P21NA, P22, P25, P2Z, P3
124;Destination blocked;The way to the destination is blocked by an obstacle.;Remove the obstacle that blocks the way to the destination.;P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
123;Destination not reachable;The way to the maintenance point is blocked by an obstacle.;Remove the obstacle.;P17, P21, P21NA, P22, P25, P2Z, P3
123;Destination not reachable;The product cannot reach the destination because there is a stay-out zone blocking the way to the work area.;Edit or remove the stay-out zone or make a new installation of the work area. ;P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
118;Charging system problem;Temporary electronic or firmware problem in the product.;Restart the product. If the problem stays, speak to your authorized service center.;P0.05, P0.05H, P0.1, P0.2, P0.3, P12, P14, P15, P16, P17, P2, P21, P25, P2C, P2Z
119;Zone generator problem;The battery of the zone generator accessory is low. The zone generator accessory does not operate when the battery is empty. The product can cut in the stay-out zone if you start the product before you charge the zone generator accessory.;Park the product and charge the zone generator accessory before you start the product.;P0.05, P0.05H, P0.1, P0.2, P0.3, P12, P14, P15, P16, P17, P2, P21, P25, P2C
119;Zone generator problem;The temperature in the zone generator accessory is a higher than the maximum limit and is set to off.;Put the product in an area with protection from the sun. Let the temperature of the zone generator accessory decrease before you start the product.;P0.05, P0.05H, P0.1, P0.2, P0.3, P12, P14, P15, P16, P17, P2, P21, P25, P2C
32;Tilt sensor problem;The tilt sensor has incorrect values.;Examine the application circuit board and its cabling. Replace if necessary;P3
40;Limited cutting height range;The cutting height adjustment motors are damaged or not installed correctly.;Examine the cutting height adjustment motors and their cabling. Replace if necessary.;P3
40;Limited cutting height range;The control circuit board is damaged or not installed correctly.;Examine the control circuit board and its cabling. Replace if necessary;P3
41;Unexpected cutting height adjustment;The control circuit board is damaged or not installed correctly.;Examine the control circuit board and its cabling. Replace if necessary.;P3
41;Unexpected cutting height adjustment;The cutting height adjustment motors are damaged or not installed correctly.;Examine the cutting height adjustment motors and their cabling. Replace if necessary.;P3
43;Cutting height problem, drive;The cutting height adjustment motors are damaged or not installed correctly.;Examine the cutting height adjustment motors and their cabling. Replace if necessary.;P3
43;Cutting height problem, drive;The control circuit board is damaged or not installed correctly.;Examine the control circuit board and its cabling. Replace if necessary.;P3
46;Cutting height blocked;The cutting height adjustment motors are damaged or not installed correctly.;Examine the cutting height adjustment motors and their cabling. Replace if necessary.;P3
46;Cutting height blocked;The control circuit board is damaged or not installed correctly.;Examine the control circuit board and its cabling. Replace if necessary.;P3
47;Cutting height problem;The cutting height adjustment motors are damaged or not installed correctly.;Examine the cutting height adjustment motors and their cabling. Replace if necessary.;P3
47;Cutting height problem;The control circuit board is damaged or not installed correctly.;Examine the control circuit board and its cabling. Replace if necessary.;P3
81;Safety function faulty;The LED status indicator on the product is damaged.;Examine the HMI circuit board and its cabling. Replace if necessary.;P22, P3
95;Cutting deck not in correct position;The folding sensor or its cabling is damaged or not installed correctly. ;Examine the folding sensor and its cabling. Examine that the folding sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P3
96;Wheel brush motor overloaded, right;The right wheel brush motor is damaged or not installed correctly. ;Examine the wheel brush motor and its cabling. Replace if necessary. ;P3
97;Wheel brush motor overloaded, left;The left wheel brush motor is damaged or not installed correctly.;Examine the wheel brush motor and its cabling. Replace if necessary.;P3
96;Wheel brush motor overloaded, right;The motor control circuit board is damaged or not installed correctly.;Examine the motor control circuit board and its cabling. Replace if necessary.;P3
97;Wheel brush motor overloaded, left;The motor control circuit board is damaged or not installed correctly.;Examine the motor control circuit board and its cabling. Replace if necessary.;P3
98;Ultrasonic problem, right ;The ultrasonic sensor is damaged or not installed correctly. ;Examine the ultrasonic sensors and its cabling. Replace if necessary. ;P3
98;Ultrasonic problem, right ;If error 98-101 occur at the same time, the cabling between the control circuit board and coupling circuit board is damaged or not installed correctly. ;Examine the cables and connectors between the control circuit board and the coupling circuit board. Replace if necessary.;P3
99;Ultrasonic problem, right center;If error 98-101 occur at the same time, the cabling between the control circuit board and coupling circuit board is damaged or not installed correctly.;Examine the cables and connectors between the control circuit board and the coupling circuit board. Replace if necessary.;P3
99;Ultrasonic problem, right center;The ultrasonic sensor is damaged or not installed correctly.;Examine the ultrasonic sensors and its cabling. Replace if necessary.;P3
100;Ultrasonic problem, left center;The ultrasonic sensor is damaged or not installed correctly.;Examine the ultrasonic sensors and its cabling. Replace if necessary.;P3
100;Ultrasonic problem, left center;If error 98-101 occur at the same time, the cabling between the control circuit board and coupling circuit board is damaged or not installed correctly.;Examine the cables and connectors between the control circuit board and the coupling circuit board. Replace if necessary.;P3
101;Ultrasonic problem, left;The ultrasonic sensor is damaged or not installed correctly.;Examine the ultrasonic sensors and its cabling. Replace if necessary.;P3
101;Ultrasonic problem, left;If error 98-101 occur at the same time, the cabling between the control circuit board and coupling circuit board is damaged or not installed correctly.;Examine the cables and connectors between the control circuit board and the coupling circuit board. Replace if necessary.;P3
102;Cutting motor problem, right;The cutting motor, the cutting motor circuit board is damaged or not installed correctly. ;Examine the cutting motor, the cutting motor circuit board and its cabling. Replace if necessary. ;P3
103;Cutting motor problem, center;The cutting motor, the cutting motor circuit board or its cabling is damaged or not installed correctly. ;Examine the cutting motor, the cutting motor circuit board and its cabling. Replace if necessary. ;P3
104;Cutting motor problem, left;The cutting motor, the cutting motor circuit board or its cabling is damaged or not installed correctly.;Examine the cutting motor, the cutting motor circuit board and its cabling. Replace if necessary. ;P3
107;Docking sensor problem;The magnetic sensor circuit board for docking or its cabling is damaged or not installed correctly.;Examine the magnetic sensor circuit board for docking and its cabling. Replace if necessary.;P3
108;Cutting deck folding sensor problem;The magnetic sensor circuit board for folding or its cabling is damaged or not installed correctly.;Examine the magnetic sensor circuit board for folding and its cabling. Replace if necessary.;P3
109;Loop sensor problem;One or several loop sensors are damaged or not installed correctly.;Examine the loop sensor circuit boards and their cabling. Replace if necessary.;P3
114;Too high battery current;There is too high battery current in the product.;Examine that the motors, drive wheels and cutting discs operates and rotates normally. Replace if necessary.  Use the Diagnostics tool to identify which component is damaged. ;P22, P3
115;Too high internal current;There is too high internal current in the product.;Examine that the motors, drive wheels and cutting discs operates and rotates normally. Replace if necessary. Use the Diagnostics tool to identify which component is damaged. ;P22, P3
116;High charging power loss;There is high charging power loss in the system. ;Examine the charging plates, the connector between drive unit and cutting deck and connector to the battery and all cabling in the product or the charging station. Use the Diagnostics tool to identify which component is damaged. ;P3
117;High internal power loss;There is high internal power loss in the system.;Examine the cables and connectors between: drive unit and cutting deck, battery and application circuit board, application circuit board and control circuit board, application circuit board and motor control circuit board, control circuit board to each cutting motor control circuit board. ;P3
120;Internal voltage problem;There is an internal voltage problem in the system;Use the Diagnostics tool to identify which component is damaged. It is probably the application circuit board, motor control circuit board, HMI circuit board, control circuit board or the RTK module.;P3
121;High internal temperature;There is high internal temperature in the product.;Use the Diagnostics tool in Autocheck to identify which component is damaged. It is probably the application circuit board, motor control circuit board, control circuit board or cutting motor control circuit board. ;P3
30;Charging system problem;The power supply unit or the mains cable is damaged or not installed correctly.;Examine the power supply unit and the mains cable and their connectors. Replace if necessary.;P3
30;Charging system problem;The application circuit board or its cabling is damaged or not installed correctly.;Examine the application circuit board and its cabling and connectors. Replace if necessary.;P3
133;Charging station communication problem ;The Bluetooth communication between the product and the charging station does not work. ;Examine the application circuit board and the charging station circuit board. Replace if necessary.;P17, P21, P21NA, P22, P3
2;No loop signal;Interference from metal objects such as fences, reinforcement steel or buried cables.;Move the boundary wire and/or make islands in the work area to increase the signal strength.;P0.05, P0.05GA, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P21NA, P25, P2C
125;Battery needs replacement;The battery state of health is low.;Replace the battery. Speak to your authorized service center.;P16, P17, P21, P21NA, P22, P25
126;Battery near end of life;The battery state of health is critically low.;Replace the battery. Speak to your authorized service center.;P16, P17, P21, P21NA, P22, P25
126;Battery near end of life;The battery state of health is critically low.;Replace the battery. ;P14, P16, P17, P21, P22, P25
127;Battery problem;The battery is damaged.;Replace the battery. Speak to your authorized service center.;P16, P17, P21, P21NA, P22, P25, P3
127;Battery problem;The battery is damaged. ;Replace the battery.;P14, P16, P17, P21, P21NA, P22, P25, P3
106;Collision sensor problem;The drive wheels on the product are blocked.;Free the product and correct the cause of problem. If the problem stays, speak to your authorized service center.;P0.05, P0.05H
106;Collision sensor problem;One of the wheel motors is damaged or not installed correctly.;Examine the wheel motors and their cabling.;P0.05, P0.05H, P14
106;Collision sensor problem;The main circuit board is damaged or not installed correctly.;Examine the main board and its cabling. Replace if necessary.;P0.05, P0.05H
110;Collision;The drive wheels on the product are blocked.;Free the product and correct the cause of problem.  If the problem stays, speak to your authorized service center.;P0.05, P0.05H, P14, P16, P17, P21
110;Collision;One of the wheel motors is damaged or not installed correctly.;Examine the wheel motors and their cabling.;P0.05, P0.05H, P14, P16, P17, P21
18;Collision problem, rear;The cable to the charging plates is not attached correctly and gets stuck. ;Examine the cable to the charging plates in the rear unit and make sure that it is attached it correctly into the cable holders in the rear body. ;P25
19;Collision problem, front ;The cable to the charging plates is not attached correctly and gets stuck.;Examine the cable to the charging plates in the rear unit and make sure that it is attached it correctly into the cable holders in the rear body.;P25
106;Collision sensor problem;The cable to the charging plates is not attached correctly and gets stuck.;Examine the cable to the charging plates in the rear unit and make sure that it is attached it correctly into the cable holders in the rear body.;P25
131;Lifted in link arm;The switch cord is damaged or not installed correctly.;Examine the switch cord and its cabling, Replace if necessary. ;P25
131;Lifted in link arm;The lift sensor has been enabled because the product has been lifted in the link arm. ;Make sure that no object interferes with the link arm. Restart the mower. If the problem stays speak to your authorized service center.;P25
133;Charging station communication problem ;The mower cannot communicate with the charging station.;Create a new loop signal or reinstall your charging station under map view in the app. If the problem stays speak to your authorized service center.;P17, P21, P21NA, P22, P3
137;High temperature in cutting motor, right;The product has been operating in demanding conditions, for example high temperature, too high or thick grass.;The product will restart and continue to operate automatically once the temperature is ok again. If the problem comes back again the reason is most likely that the grass is too high or thick for being operated by the mower. If the mower does not restart automatically, speak to your authorized service center.;P3
138;High temperature in cutting motor, center;The product has been operating in demanding conditions, for example high temperature, too high or thick grass.;The product will restart and continue to operate automatically once the temperature is ok again. If the problem comes back again the reason is most likely that the grass is too high or thick for being operated by the mower. If the mower does not restart automatically, speak to your authorized service center.;P22, P3
139;High temperature in cutting motor, left;The product has been operating in demanding conditions, for example high temperature, too high or thick grass.;The product will restart and continue to operate automatically once the temperature is ok again. If the problem comes back again the reason is most likely that the grass is too high or thick for being operated by the mower. If the mower does not restart automatically, speak to your authorized service center.;P3
137;High temperature in cutting motor, right;The cutting motor control circuit board is damaged or not installed correctly. ;Examine the cutting motor control circuit board and its cabling. Replace if necessary.;P3
138;High temperature in cutting motor, center;The cutting motor control circuit board is damaged or not installed correctly.;Examine the cutting motor control circuit board and its cabling. Replace if necessary.;P22, P3
139;High temperature in cutting motor, left;The cutting motor control circuit board is damaged or not installed correctly.;Examine the cutting motor control circuit board and its cabling. Replace if necessary.;P3
128;Multiple reference stations;There is more than one reference station near the work area. This can cause interference for the product from a different reference station.;Connect the reference station to Autocheck and change the preamble ID to a higher value.;P17, P21, P2Z, P3
128;Multiple reference stations;Speak to your approved servicing dealer if the same problem occurs frequently.;There is more than one reference station near the work area. This can cause interference for the product from a different reference station.;P17, P21, P2Z, P3
134;Invalid firmware configuration;The firmware in the product is not updated.;Update the firmware to the latest version.;P0.05, P0.05GA, P0.05H, P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
110;Collision;The rear collision circuit board is damaged or not installed correctly.;Examine the rear collision circuit board and its cabling. Examine that the collision sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P2Z
132;EPOS plug-in not found;The EPOS Plug-in has been installed earlier, but cannot be found.;Make sure that the EPOS Plug-in is installed correctly and that the cable is connected. Restart the product. If the problem stays, speak to your authorized service center.;P17, P21, P21NA
118;Charging system problem;The power supply unit or low-voltage cable is damaged or not installed correctly.;Make sure that you use the correct power supply unit for the product. The maximum length of the low-voltage cable is 20 meter. Examine the power supply unit and low-voltage cable and their connectors. Replace if necessary.;P0.05, P0.05H, P0.1, P0.2, P0.3, P12, P14, P15, P16, P17, P2, P21, P25, P2C, P2Z
118;Charging system problem;The charging station is damaged or not installed correctly.;Examine the charging station circuit board, the contact plates and all cabling and connectors in the charging station. Replace if necessary.;P0.05, P0.05H, P0.1, P0.2, P0.3, P12, P14, P15, P16, P17, P2, P21, P25, P2C, P2Z
118;Charging system problem;The charging plates are damaged or not installed correctly.;Examine the charging plates on the product, its cabling and connectors. Replace if necessary.;P12, P14, P15, P16, P17, P2, P21, P25, P2C, P2Z
118;Charging system problem;"	 The connector for the charging plates is damaged or not installed correctly.";Remove the grommet for the charge cable in the lower chassis. Examine the connector on the charge cable and replace if necessary.;P14, P15, P16, P2, P2C, P2Z
118;Charging system problem;The connector for the charging plates is damaged or not installed correctly.;Remove the grommet for the charge cable in the rear lower chassis. Examine the connector on the charge cable and replace if necessary.;P25
118;Charging system problem;The battery is damaged or not installed correctly.;Examine the battery and its cabling and connectors and replace if necessary.;P0.05, P0.05H, P0.1, P0.2, P0.3, P1, P10, P12, P14, P15, P16, P17, P2, P21, P25, P2C, P2Z
118;Charging system problem;The main circuit board or its cabling is damaged or not installed correctly.;Examine the main circuit board and its cabling and connectors. Replace if necessary.;P0.05, P0.05H, P12, P15, P2, P2C
118;Charging system problem;The rear sensor module is damaged or not installed correctly.;Examine the rear sensor module and replace if necessary.;P0.1, P0.2, P0.3
15;Lifted;The magnetic 3D circuit board for the lift sensor is damaged or not installed correctly.;Examine the magnetic 3D circuit board for the lift sensors and its cabling. Examine that the lift sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P17, P21, P22
30;Charging system problem;The nose module or the main cable are damaged or not installed correctly.;Examine nose module or the main cable. Replace if necessary.;P17, P21
81;Safety function faulty;The LED status indicator on the product is damaged.;Examine the display kit and the application circuit board and its cabling. Replace if necessary.;P17, P21, P21NA
106;Collision sensor problem;The magnetic 3D circuit board for the collision sensor is damaged or not installed correctly.;Examine the magnetic 3D circuit board for the collision sensors and its cabling. Examine that the collision sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P17, P21
110;Collision;The magnetic 3D circuit board for the collision sensor is damaged or not installed correctly.;Examine the magnetic 3D circuit board for the collision sensors and its cabling. Examine that the collision sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P17, P21
135;Radar problem;The radar kit is damaged or not installed correctly.;Examine the radar kit and its cabling. Replace if necessary.;P14, P17, P21, P22
118;Charging system problem;The nose module or the main cable are damaged or not installed correctly.;Examine nose module or the main cable. Replace if necessary.;P17, P21
132;EPOS plug-in not found;The EPOS Plug-in has been removed and you want to use the product with wire installation instead. ;Disable EPOS in the Automower® Connect app. ;P17, P21, P21NA
132;EPOS plug-in not found;The EPOS Plug-in is damaged or not installed correctly.;Examine the EPOS Plug-in. Replace if necessary.;P17, P21, P21NA
40001;Charging station temperature restriction;The temperature in the charging station is too high or too low for the product to operate.;The product will continue with normal operation when the temperature in the charging station is within the set temperature limits. Make sure that the charging station is put in an area with protection from the sun.;Accessories
40002;Charging station problem;The charging station circuit board is damaged.;Examine the charging station circuit board. Replace if necessary. ;Accessories
40003;Charging station current problem;The charging current is too high or too low. The power supply unit is damaged. ;Examine the power supply unit. Replace if necessary.;Accessories
40010;Charging station voltage problem;The charging voltage is too high or too low. The power supply unit is damaged.;Examine the power supply unit. Replace if necessary.;Accessories
40008;Charging station antenna wire problem ;The current in the N-field is too high or too low.;Examine the antenna wire. Replace if necessary. If problem remains, examine the charging station circuit board. Replace if necessary. ;Accessories
40009;Charging station antenna wire problem;The current in the F-field is too high or too low.;Examine the antenna wire. Replace if necessary. If problem remains, examine the charging station circuit board. Replace if necessary. ;Accessories
133;Charging station communication problem ;Power failure;Find and correct the cause of the power failure.;P17, P21, P21NA, P3
141;Wheel brush motor problem;Only one of two wheel brush motors can be detected. ;Make sure that the wheel brush motors and their cables are installed correctly.  If the problem remains, speak to your authorized service center.;P3
141;Wheel brush motor problem;Only one of two wheel brush motors can be detected. ;Examine the drive unit motor control circuit board and its cabling. Replace if necessary.;P3
5;Loop sensor problem, rear;The rear loop circuit board is damaged or not installed correctly.;Examine the rear loop circuit board and its cabling. Replace if necessary.;P14
25;Cutting system blocked;The main cutting system is blocked by grass or other objects.;Examine the main cutting system and remove the grass or other objects.;P14, P17
25;Cutting system blocked;The main cutting system or its cabling is damaged or not installed correctly.;Examine the main cutting system and its cabling. Replace if necessary.;P14, P17
125;Battery needs replacement;The battery state of health is low.;Replace the battery.;P14
126;Battery near end of life;The battery state of health is low.;Replace the battery.;P14
127;Battery problem;The battery is damaged.;Replace the battery.;P14
136;Work area tampered;The charging station has been moved.;Move the charging station to its original position or reinstall the charging station in the app to set its new position.;P14, P17, P21, P21NA, P22, P25, P2Z, P3
136;Work area tampered;The reference station has been moved.;Move the reference station to its original position or reinstall the reference station in the app to set its new position. If the reference station is moved to a new position, you have to make a factory reset and redo the installation with all maps.;P17, P21, P22, P25, P2Z, P3
143;Accessory power problem ;There is a power problem with the accessory port. ;Switch off the product and disconnect and reconnect the accessory to the accessory port. Restart the product. If the problem stays, speak to your service center.;P17, P21, P21NA, P22
143;Accessory power problem ;The hub circuit board is damaged or not installed correctly.;Examine the hub circuit board and its cabling. Replace if necessary.;P17, P21
143;Accessory power problem ;If the error occurs as the same time as error 132 there is probably a problem with the EPOS plug-in.;Examine the EPOS plug-in and its cabling. Replace if necessary. ;P17, P21, P21NA
143;Accessory power problem ;If the error occurs at the same time as error 135 there is probably a problem with the radar kit.;Examine the radar kit and its cabling. Replace if necessary. ;P17, P21, P21NA
20001;Reference station temperature restriction;The temperature in the reference station is too high or too low for the product to operate.;The product will continue with normal operation when the temperature in the reference station is within the set temperature limits.;Accessories
20002;Reference station problem;The reference station circuit board is damaged or not installed correctly.;Examine the reference station circuit board and its cabling. Replace if necessary.;Accessories
20003;Reference station obscured;The reference station is obscured and has bad satellite coverage. ;Make sure that the reference station is installed according the to instructions in a high and free position. If not, move the reference station to a better position. If the reference station is moved, you have to make a factory reset and redo the installation with all maps.;Accessories
20004;Reference station cannot detect satellite signals;The antenna is damaged or not installed correctly.;Examine the antenna and the reference station circuit board and their cabling. Replace if necessary. ;Accessories
105;Lift sensor problem;The lift sensor is damaged or not installed correctly.;Examine the accessory circuit board and its cabling. Examine that the lift sensor magnet is not missing or installed in opposite direction. Replace if necessary.;P14
106;Collision sensor problem;The motor control circuit board is damaged or not installed correctly.;Examine the motor control circuit board and its cabling. Replace if necessary.;P14, P17, P21
129;Edge cutting system blocked;The edge cutting system is blocked by grass or other objects.;Examine the edge cutting system and remove the grass or other objects.;P14, P17
129;Edge cutting system blocked;The edge cutting system or its cabling is damaged or not installed correctly.;Examine the edge cutting system and its cabling. Replace if necessary.;P14, P17
129;Edge cutting system blocked;The motor control circuit board edge or its cabling is damaged or not installed correctly.;Examine the motor control circuit board edge and its cabling. Replace if necessary.;P14, P17
130;Imbalanced edge cutting system;The product has discovered vibrations in the edge cutting system;Examine that the blades and screws are not damaged or worn. Make sure that all blades are correctly installed and that there is only one blade attached in each position on the blade disc.;P14, P17
30;Charging system problem;The rear charging module is damaged or not installed correctly.;Examine the rear charging module and its cabling. Replace if necessary. ;P14
118;Charging system problem;The rear charging module is damaged or not installed correctly.;Examine the rear charging module and its cabling. Replace if necessary.;P14
15;Lifted;The lift sensor is damaged or not installed correctly.;Examine the accessory circuit board and its cabling. Examine that the lift sensor magnet is not missing or installed in opposite direction. Replace if necessary.;P14
32;Tilt sensor problem;The tilt sensor has incorrect values.;Examine the application circuit board and its cabling. Replace if necessary.;P17, P21
144;Boundary wire problem;The boundary wire is damaged or not installed correctly.;Examine that the boundary wire is connected correctly to the charging station. Examine all splices on the boundary wire. Examine if the boundary wire is damaged and repair it if it is necessary.;P17, P21, P21NA
147;Cutting disc lost;One or several cutting discs have been lost. ;Examine the cutting discs and reinstall the lost cutting disc. Make sure all cutting discs can rotate freely and are installed correctly. ;P3
148;Chassis collision;The product sensed a collision in the EPOS™ module.;Remove the object that the product collides with. If removal of the object is not possible, make a stay-out zone. For a boundary wire installation, make an island around the object.;P25
124;Destination blocked;The way of the destination is blocked by a stay-out zone.;Edit or remove the stay-out zone or make a new installation of the work area.;P14, P16, P17, P21, P21NA, P22, P25, P2Z, P3
124;Destination blocked;There is no transport path to the work area.;Make a transport path to the work area.;P17, P21, P22, P25, P2Z, P3
145;No correction data available;Technical problems with the EPOS™ via Husqvarna Cloud service. ;Wait and see if the problem it solved automatically. Restart the product. If the problem stays, speak to your authorized service center.;P17, P21, P21NA, P22, P25, P2Z, P3
145;No correction data available;The product does not have cellular connection and cannot receive correction data.;Make sure that you have cellular coverage in all parts of the area where the product operates.;P22, P25, P2Z, P3
145;No correction data available;The product does not have cellular or Wi-Fi connection and cannot receive correction data.;Make sure that you have cellular or Wi-Fi coverage in all parts of the area where the product operates.;P17, P21, P21NA
125;Battery needs replacement;The battery state of health is low.;Replace the battery;P16, P17, P21, P21NA, P22, P25
23;Wheel drive problem, left;The wheel motor control circuit board is damaged.;Examine the wheel motor control circuit board and replace if necessary.;P22
22;Wheel drive problem, right;The wheel motor control circuit board is damaged.;Examine the wheel motor control circuit board and replace if necessary.;P22
43;Cutting height problem, drive;The cutting motor control circuit board is damaged or not installed correctly.;Examine the cutting motor control circuit board and its cabling. Replace if necessary.;P22
46;Cutting height blocked;The cutting motor control circuit board is damaged or not installed correctly.;Examine the cutting motor control circuit board and its cabling. Replace if necessary.;P22
103;Cutting motor problem, center;The cutting motor, the cutting motor control circuit board or its cabling is damaged or not installed correctly.;Examine the cutting motor, the cutting motor control circuit board and its cabling. Replace if necessary.;P22
135;Radar problem;The product will continue to operate, but with reduced speed. ;Clean the window for the radar. Restart the product. If the problem stays, speak to your approved servicing dealer.;P17, P21, P21NA, P22
123;Destination not reachable;The way back to the charging station is blocked by an obstacle.;Remove the obstacle;P14, P17, P21, P21NA, P22, P25, P2Z, P3
17;Charging station blocked;The product cannot go into the charging station because it is blocked or the baseplate of the charging station is tilted or bent.;Examine why the product cannot go into the charging station. Remove any objects and make sure that the baseplate of the charging station is not bent. Make sure that the ground where the charging station is placed and 1 m /3.3 ft in front of the charging station is level. ;P22
40;Limited cutting height range;The cutting height adjustment cannot move its full range. ;Clean the underside of the product and the rubber bellows for the cutting height adjustment. ;P22
35;Wheel motor overloaded, right;The product has been operating in demanding conditions, for example high temperature, too high or thick grass.;The product will restart and continue to operate automatically once the temperature is ok again. If the problem comes back again the reason is most likely that the grass is too high or thick for being operated by the mower. If the mower does not restart automatically, speak to your authorized service center.;P22
36;Wheel motor overloaded, left;The product has been operating in demanding conditions, for example high temperature, too high or thick grass.;The product will restart and continue to operate automatically once the temperature is ok again. If the problem comes back again the reason is most likely that the grass is too high or thick for being operated by the mower. If the mower does not restart automatically, speak to your authorized service center.;P22
35;Wheel motor overloaded, right;The wheel motor control circuit board is damaged or not installed correctly.;Examine the wheel motor control circuit board and its cabling. Replace if necessary.;P22
36;Wheel motor overloaded, left;The wheel motor control circuit board is damaged or not installed correctly.;Examine the wheel motor control circuit board and its cabling. Replace if necessary.;P22
145;No correction data available;The product is not connected to the smart Gateway.;Make sure that the smart Gateway is installed correctly, set to ON and connected to the Wi-Fi. If the problem occurs frequently when the product is at the same position, change the position of the smart Gateway to improve the connection signal between the product and and the smart Gateway.;P14
115;Too high internal current;The magnetic 3D circuit board for the lift sensor is damaged or not installed correctly.;Examine the magnetic 3D circuit board for the lift sensors and its cabling. Examine that the lift sensor magnets are not missing or installed in opposite direction. Replace if necessary.;P22
18;Collision problem, rear;The magnetic 3D circuit board for the rear collision sensor is damaged or not installed correctly.;Examine the magnetic 3D circuit board for the rear collision sensor and its cabling. Examine that the collision sensor magnet is not missing or installed in opposite direction. Replace if necessary.;P22
19;Collision problem, front ;The magnetic 3D circuit board for the front collision sensor is damaged or not installed correctly.;Examine the magnetic 3D circuit board for the front collision sensor and its cabling. Examine that the collision sensor magnet is not missing or installed in opposite direction. Replace if necessary.;P22
110;Collision;One or several magnetic 3D circuit boards for the collision sensors are damaged or not installed correctly.;Examine the magnetic 3D circuit boards for the collision sensors and their cabling. Replace if necessary.;P22
31;STOP button problem;The STOP button sensor is damaged or not installed correctly.;Examine that the STOP sensor magnet is not missing or installed in opposite direction. Examine the HMI circuit board and replace if necessary.;P22
116;High charging power loss;There is high charging power loss in the system.;Examine the charging plates, the connector to the battery and all cabling in the product and the charging station. Use the Diagnostics tool to identify which component is damaged.;P22
